CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"3",9.936,-85.667,Suelos,"2019",movimiento 
"3",10.311,-84.822,Suelos,"2019",erosion
"3",10.574,-85.673,Suelos,"2019",erosion
"4",9.975,-84.159,Mineria,"2018",extraccion tajo
"5",10.584,-85.635,Contaminacion aire ,"2019",emision particulas
"2",9.998,-84.117,Vida silvestre,"2019",caceria
"3",10.319,-84.822,Suelos,"2019",movimiento 
"3",10.148,-85.806,Suelos,"2019",erosion
"1",10.538,-83.503,Agua ,"2018",desvio 
"4",9.936,-84.076,Mineria,"2018",extraccion tajo
"2",9.945,-84.131,Vida silvestre,"2019",tenencia ilegal
"2",10.43,-83.76,Vida silvestre,"2019",caceria
"3",9.609,-84.627,Suelos,"2019",quema 
"0",9.931,-84.082,Forestal ,"2019",Anillado arboles
"2",9.936,-84.067,Vida silvestre,"2019",caceria
"3",9.405,-84.158,Suelos,"2019",erosion
"2",9.449,-84.158,Vida silvestre,"2019",caceria
"1",10.467,-84.968,Agua ,"2018",obras no autorizadas en cauce
"3",10.324,-84.432,Suelos,"2019",movimiento 
"3",10.304,-85.836,Suelos,"2019",movimiento 
"5",10.063,-84.078,Contaminacion aire ,"2019",emision particulas
"0",9.527,-84.478,Forestal ,"2019",Invasion ASP
"3",10.571,-85.678,Suelos,"2019",movimiento 
"1",9.946,-84.118,Agua ,"2018",obras no autorizadas en cauce
"3",10.468,-84.644,Suelos,"2019",contaminacion
"5",10.625,-85.676,Contaminacion aire ,"2019",emision particulas
"3",10.36,-84.474,Suelos,"2019",contaminacion
"1",9.931,-84.077,Agua ,"2018",obras no autorizadas en cauce
"3",10.628,-85.435,Suelos,"2019",erosion
"2",10.539,-83.503,Vida silvestre,"2019",caceria
"1",9.926,-84.076,Agua ,"2018",contaminacion
"3",9.379,-84.144,Suelos,"2019",movimiento 
"3",9.39,-84.151,Suelos,"2019",erosion
"3",8.693,-83.676,Suelos,"2019",quema 
"2",9.951,-84.113,Vida silvestre,"2019",caceria
"3",10.466,-84.665,Suelos,"2019",movimiento 
"3",10.549,-85.697,Suelos,"2019",erosion
"1",9.973,-84.847,Agua ,"2018",contaminacion
"3",10.397,-84.134,Suelos,"2019",erosion
"3",9.937,-84.103,Suelos,"2019",erosion
"1",10.627,-85.439,Agua ,"2018",desvio 
"1",9.426,-84.16,Agua ,"2018",contaminacion
"2",10.451,-84.272,Vida silvestre,"2019",caceria
"4",8.405,-83.282,Mineria,"2018",sedimentacion cuerpo agua
"2",9.973,-84.848,Vida silvestre,"2019",caceria
"2",9.878,-85.521,Vida silvestre,"2019",caceria
"3",10.467,-84.632,Suelos,"2019",movimiento 
"2",10.233,-85.84,Vida silvestre,"2019",caceria
"3",10.009,-84.241,Suelos,"2019",erosion
"3",9.639,-82.686,Suelos,"2019",movimiento 
"1",9.614,-84.631,Agua ,"2018",contaminacion
"3",10.335,-85.848,Suelos,"2019",erosion
"1",9.427,-84.114,Agua ,"2018",contaminacion
"3",9.928,-84.058,Suelos,"2019",contaminacion
"2",10.393,-84.475,Vida silvestre,"2019",caceria
"0",10.298,-84.818,Forestal ,"2019",Incendio 
"0",10.783,-85.043,Forestal ,"2019",Invasion ASP
"2",10.472,-84.646,Vida silvestre,"2019",tenencia ilegal
"3",10.473,-84.615,Suelos,"2019",erosion
"5",9.612,-84.629,Contaminacion aire ,"2019",emision particulas
"3",9.93,-84.058,Suelos,"2018",erosion
"0",10.437,-84.732,Forestal ,"2019",Tala
"2",10.468,-84.645,Vida silvestre,"2019",caceria
"3",9.995,-85.695,Suelos,"2018",contaminacion
"3",8.535,-83.306,Suelos,"2018",quema 
"2",9.651,-85.068,Vida silvestre,"2019",caceria
"3",10.466,-84.664,Suelos,"2018",movimiento 
"1",9.626,-85.154,Agua ,"2018",contaminacion
"1",10.302,-85.837,Agua ,"2018",obras no autorizadas en cauce
"3",9.612,-84.627,Suelos,"2018",erosion
"3",9.106,-83.691,Suelos,"2018",quema 
"0",9.931,-84.072,Forestal ,"2019",Tala
"3",8.723,-83.648,Suelos,"2018",movimiento 
"4",9.919,-84.138,Mineria,"2018",extraccion tajo
"2",10.007,-83.065,Vida silvestre,"2019",tenencia ilegal
"2",10.43,-85.791,Vida silvestre,"2019",caceria
"5",10.009,-84.276,Contaminacion aire ,"2019",mal olor
"1",10.006,-83.064,Agua ,"2018",contaminacion
"1",10.468,-84.644,Agua ,"2018",desvio 
"5",9.977,-84.163,Contaminacion aire ,"2019",emision particulas
"1",9.99,-83.034,Agua ,"2018",obras no autorizadas en cauce
"1",9.973,-84.841,Agua ,"2018",contaminacion
"4",9.94,-84.013,Mineria,"2018",extraccion tajo
"2",9.889,-84.131,Vida silvestre,"2018",caceria
"4",10.582,-85.66,Mineria,"2018",sedimentacion cuerpo agua
