Agua;Aire;Forestal;Suelo;Vida silvestre;Mineria;anio;decimalLatitude;decimalLongitude;Tipo
0;0;0;0;1;0;2019;11,097;-85,612;caceria
0;0;0;0;1;0;2019;9,928;-84,074;tenencia ilegal
0;0;0;0;1;0;2019;9,93;-84,046;caceria
0;0;0;0;1;0;2019;8,631;-83,729;caceria
0;0;0;0;1;0;2019;9,613;-84,629;tenencia ilegal
0;0;0;0;1;0;2019;9,973;-84,832;tenencia ilegal
0;0;0;0;1;0;2019;10,479;-85,616;tenencia ilegal
0;0;0;0;1;0;2019;10,081;-84,124;tenencia ilegal
0;0;0;0;1;0;2019;9,937;-84,05;tenencia ilegal
0;0;0;0;1;0;2019;10,31;-84,821;tenencia ilegal
0;0;0;0;1;0;2018;9,211;-83,64;caceria
0;0;0;0;1;0;2018;10,322;-84,431;tenencia ilegal
0;0;0;0;1;0;2018;9,929;-84,074;caceria
0;0;0;0;1;0;2018;10,272;-84,812;tenencia ilegal
0;0;0;0;1;0;2018;10,453;-84,008;caceria
0;0;0;0;1;0;2018;10,551;-85,694;caceria
0;0;0;0;1;0;2018;10,301;-85,838;tenencia ilegal
0;0;0;0;1;0;2018;10,054;-84,113;caceria
0;0;0;0;1;0;2018;10,628;-85,437;caceria
0;0;0;0;1;0;2018;9,869;-85,488;caceria
0;0;0;0;1;0;2018;10,571;-85,677;tenencia ilegal
0;0;0;0;1;0;2018;9,958;-85,674;tenencia ilegal
0;0;0;0;1;0;2018;10,314;-84,823;tenencia ilegal
0;0;0;0;1;0;2018;9,641;-85,168;tenencia ilegal
0;0;0;0;1;0;2019;10,442;-84,005;tenencia ilegal
0;0;0;0;1;0;2019;8,636;-83,168;caceria
0;0;0;0;1;0;2019;10,723;-85,419;caceria
0;0;0;0;1;0;2019;9,998;-84,117;caceria
0;0;0;0;1;0;2019;9,945;-84,131;tenencia ilegal
0;0;0;0;1;0;2019;10,43;-83,76;caceria
0;0;0;0;1;0;2019;9,936;-84,067;caceria
0;0;0;0;1;0;2019;9,449;-84,158;caceria
0;0;0;0;1;0;2019;10,539;-83,503;caceria
0;0;0;0;1;0;2019;9,951;-84,113;caceria
0;0;0;0;1;0;2019;10,451;-84,272;caceria
0;0;0;0;1;0;2019;9,973;-84,848;caceria
0;0;0;0;1;0;2019;9,878;-85,521;caceria
0;0;0;0;1;0;2019;10,233;-85,84;caceria
0;0;0;0;1;0;2019;10,393;-84,475;caceria
0;0;0;0;1;0;2019;10,472;-84,646;tenencia ilegal
0;0;0;0;1;0;2019;10,468;-84,645;caceria
0;0;0;0;1;0;2019;9,651;-85,068;caceria
0;0;0;0;1;0;2019;10,007;-83,065;tenencia ilegal
0;0;0;0;1;0;2019;10,43;-85,791;caceria
0;0;0;0;1;0;2018;9,889;-84,131;caceria
0;0;0;0;1;0;2018;10,466;-84,645;caceria
0;0;0;0;1;0;2018;10,491;-85,019;caceria
0;0;0;0;1;0;2018;10,533;-84,662;caceria
0;0;0;0;1;0;2018;10,19;-85,828;caceria
0;0;0;0;1;0;2018;10,292;-84,829;caceria
0;0;0;0;1;0;2018;9,928;-84,214;caceria
0;0;0;0;1;0;2018;10,295;-85,843;caceria
0;0;0;0;1;0;2018;9,642;-82,721;tenencia ilegal
0;0;0;0;1;0;2018;10,21;-83,858;caceria
0;0;0;0;1;0;2018;10,548;-85,698;caceria
0;0;0;0;1;0;2018;10,429;-85,792;caceria
0;0;0;0;1;0;2018;9,41;-83,665;caceria
0;0;0;0;1;0;2018;9,935;-84,525;caceria
0;0;0;0;1;0;2018;10,468;-84,958;caceria
0;0;0;0;1;0;2018;9,989;-84,309;tenencia ilegal
0;0;0;0;1;0;2018;9,654;-82,753;caceria
0;0;0;0;1;0;2018;10,334;-85,85;caceria
0;0;0;0;1;0;2018;9,614;-84,631;caceria
0;0;0;0;1;0;2018;9,932;-84,068;caceria
0;0;0;0;1;0;2019;9,611;-84,629;tenencia ilegal
0;0;0;0;1;0;2019;9,766;-83,8;caceria
0;0;0;0;1;0;2019;9,79;-83,855;caceria
0;0;0;0;1;0;2019;9,931;-84,073;caceria
0;0;0;0;1;0;2019;10,301;-84,804;caceria
0;0;0;0;1;0;2019;10,481;-84,643;tenencia ilegal
0;0;0;0;1;0;2019;9,379;-84,145;caceria
0;0;0;0;1;0;2019;10,571;-85,677;caceria
0;0;0;0;1;0;2019;9,408;-84,154;caceria
0;0;0;0;1;0;2019;10,573;-85,677;caceria
0;0;0;0;1;0;2019;9,436;-84,155;tenencia ilegal
0;0;0;0;1;0;2019;9,639;-82,717;tenencia ilegal
0;0;0;0;1;0;2019;9,879;-85,527;tenencia ilegal
0;0;0;0;1;0;2019;9,974;-84,16;caceria
0;0;0;0;1;0;2019;9,996;-83,776;caceria
0;0;0;0;1;0;2019;9,526;-84,456;caceria
